draw,gas_shift,co2_shift,gas_sigma,co2_sigma
1,20.088577,-0.867153,2.197113,-0.114972
2,-15.872620,-1.462481,-1.736009,-0.193904
3,-2.421383,-11.286751,-0.264830,-1.496459
4,9.212452,-7.620239,1.007578,-1.010333
5,9.591113,13.787036,1.048992,1.827961
6,1.254307,5.773599,0.137185,0.765495
7,1.653784,-8.890823,0.180876,-1.178794
8,-6.639270,-7.064553,-0.726146,-0.936657
9,0.290167,2.477615,0.031736,0.328496
10,-1.342964,12.933833,-0.146882,1.714839
11,3.114187,2.745684,0.340603,0.364038
12,2.573990,-3.264358,0.281521,-0.432807
13,-10.099512,-6.289933,-1.104597,-0.833954
14,4.923133,-0.453506,0.538449,-0.060128
15,-6.109576,-5.810702,-0.668212,-0.770415
16,10.944571,-5.483507,1.197022,-0.727034
17,2.182239,2.645486,0.238674,0.350753
18,-19.053177,1.289849,-2.083870,0.171015
19,-5.204858,2.085761,-0.569262,0.276542
20,-12.514294,4.137464,-1.368704,0.548568
21,-7.553241,-20.721402,-0.826108,-2.747357
22,3.302732,0.854625,0.361224,0.113311
23,-18.603378,-5.195487,-2.034675,-0.688846
24,-4.114629,-11.513400,-0.450022,-1.526510
25,10.370242,13.087630,1.134207,1.735230
26,6.788137,9.346515,0.742427,1.239212
27,-14.719742,-4.612785,-1.609917,-0.611588
28,-13.740825,-5.012187,-1.502852,-0.664543
29,-0.375554,3.054279,-0.041075,0.404953
30,-22.135342,-9.167248,-2.420971,-1.215444
31,-10.395139,-5.231589,-1.136930,-0.693633
32,-9.188914,-2.043434,-1.005003,-0.270930
33,11.661228,13.652019,1.275404,1.810060
34,7.147457,5.717916,0.781727,0.758113
35,-0.815569,17.407988,-0.089200,2.308047
36,-6.806013,-8.196316,-0.744382,-1.086713
37,9.028755,-0.511248,0.987486,-0.067784
38,-1.113767,4.207608,-0.121814,0.557868
39,-2.722643,-1.888116,-0.297779,-0.250337
40,5.312140,7.348739,0.580996,0.974336
41,-1.444732,-5.398553,-0.158012,-0.715770
42,-13.198533,-8.267149,-1.443540,-1.096104
43,-2.159513,2.373427,-0.236189,0.314682
44,0.791530,1.391892,0.086571,0.184545
45,4.522906,1.667392,0.494676,0.221072
46,-0.202156,2.966457,-0.022110,0.393309
47,-3.020076,-6.006727,-0.330310,-0.796405
48,4.171933,4.652942,0.456290,0.616913
49,13.340060,5.223360,1.459019,0.692542
50,0.208251,0.990064,0.022777,0.131268
51,12.197536,12.728325,1.334060,1.687591
52,-4.387726,3.463664,-0.479891,0.459232
53,-1.840634,5.205964,-0.201312,0.690235
54,-1.889468,-3.580618,-0.206654,-0.474738
55,6.006480,-10.602086,0.656936,-1.405683
56,0.940488,-12.463082,0.102862,-1.652424
57,-8.555911,-3.221082,-0.935771,-0.427069
58,-6.258637,-7.444313,-0.684515,-0.987008
59,-5.022391,2.769728,-0.549305,0.367226
60,-5.662090,5.582660,-0.619270,0.740180
61,-3.470139,8.829499,-0.379534,1.170664
62,16.138721,-2.915748,1.765113,-0.386586
63,2.023726,1.115415,0.221338,0.147888
64,-10.756506,-9.813196,-1.176453,-1.301087
65,-9.814397,-2.985188,-1.073413,-0.395793
66,6.499158,-0.983156,0.710821,-0.130352
67,1.451304,-4.079095,0.158731,-0.540829
68,15.940200,-4.869505,1.743400,-0.645626
69,-7.950578,-15.557210,-0.869565,-2.062660
70,-3.763531,8.086718,-0.411622,1.072182
71,7.730328,-1.219856,0.845476,-0.161735
72,8.104611,-3.579058,0.886412,-0.474531
73,7.606287,3.560532,0.831909,0.472075
74,-4.619783,3.022323,-0.505272,0.400716
75,2.454898,-10.528821,0.268495,-1.395969
76,4.737641,6.417904,0.518162,0.850921
77,5.695023,-13.688861,0.622872,-1.814944
78,6.406853,0.073670,0.700726,0.009768
79,-16.266642,-6.564128,-1.779104,-0.870308
80,0.637364,16.492381,0.069709,2.186651
81,-8.970861,2.690074,-0.981155,0.356665
82,3.565198,-0.922919,0.389930,-0.122366
83,17.406898,10.831798,1.903815,1.436139
84,3.916696,9.794927,0.428374,1.298665
85,9.983349,2.729483,1.091892,0.361890
86,-3.881489,0.405962,-0.424523,0.053825
87,-0.618926,-2.223188,-0.067693,-0.294762
88,14.819090,11.940218,1.620783,1.583100
89,5.458159,-5.350330,0.596966,-0.709376
90,12.557380,4.156914,1.373417,0.551147
91,-8.324168,-2.821196,-0.910425,-0.374050
92,8.564582,15.885014,0.936719,2.106122
93,-7.153213,10.074195,-0.782356,1.335692
94,-5.409305,-8.924919,-0.591623,-1.183315
95,2.803057,8.769244,0.306574,1.162675
96,-11.332923,-0.677152,-1.239496,-0.089781
97,-3.069714,-4.850803,-0.335739,-0.643146
98,13.753261,-4.457620,1.504212,-0.591016
99,-11.807814,3.571701,-1.291436,0.473556
100,22.010276,-2.704793,2.407292,-0.358616
