draw,gas_shift,co2_shift,gas_sigma,co2_sigma
1,20.088577,-6.437163,2.197113,-0.853474
2,-15.872620,2.822415,-1.736009,0.374211
3,-2.421383,-11.231410,-0.264830,-1.489122
4,9.212452,-10.565196,1.007578,-1.400792
5,9.591113,11.895679,1.048992,1.577194
6,1.254307,5.740979,0.137185,0.761171
7,1.653784,-9.826328,0.180876,-1.302829
8,-6.639270,-5.621217,-0.726146,-0.745292
9,0.290167,2.531827,0.031736,0.335684
10,-1.342964,14.002528,-0.146882,1.856532
11,3.114187,2.037963,0.340603,0.270204
12,2.573990,-4.148583,0.281521,-0.550042
13,-10.099512,-3.853354,-1.104597,-0.510899
14,4.923133,-1.831589,0.538449,-0.242842
15,-6.109576,-4.445191,-0.668212,-0.589368
16,10.944571,-8.789135,1.197022,-1.165312
17,2.182239,2.188573,0.238674,0.290173
18,-19.053177,6.598048,-2.083870,0.874805
19,-5.204858,3.629573,-0.569262,0.481229
20,-12.514294,7.801874,-1.368704,1.034415
21,-7.553241,-19.765345,-0.826108,-2.620598
22,3.302732,-0.007204,0.361224,-0.000955
23,-18.603378,-0.361683,-2.034675,-0.047954
24,-4.114629,-11.004778,-0.450022,-1.459074
25,10.370242,10.944236,1.134207,1.451047
26,6.788137,7.985658,0.742427,1.058782
27,-14.719742,-0.815228,-1.609917,-0.108087
28,-13.740825,-1.505371,-1.502852,-0.199590
29,-0.375554,3.322708,-0.041075,0.440543
30,-22.135342,-3.577166,-2.420971,-0.474280
31,-10.395139,-2.656495,-1.136930,-0.352213
32,-9.188914,0.372439,-1.005003,0.049380
33,11.661228,11.184206,1.275404,1.482864
34,7.147457,4.062033,0.781727,0.538567
35,-0.815569,18.573645,-0.089200,2.462596
36,-6.806013,-6.768341,-0.744382,-0.897384
37,9.028755,-3.021245,0.987486,-0.400573
38,-1.113767,4.741373,-0.121814,0.628637
39,-2.722643,-1.241667,-0.297779,-0.164627
40,5.312140,6.285650,0.580996,0.833386
41,-1.444732,-5.293295,-0.158012,-0.701814
42,-13.198533,-5.085459,-1.443540,-0.674258
43,-2.159513,3.095515,-0.236189,0.410420
44,0.791530,1.249543,0.086571,0.165671
45,4.522906,0.514046,0.494676,0.068155
46,-0.202156,3.182464,-0.022110,0.421949
47,-3.020076,-5.501238,-0.330310,-0.729384
48,4.171933,3.757551,0.456290,0.498197
49,13.340060,1.838150,1.459019,0.243712
50,0.208251,0.986350,0.022777,0.130776
51,12.197536,10.063108,1.334060,1.334222
52,-4.387726,4.857333,-0.479891,0.644012
53,-1.840634,5.993563,-0.201312,0.794660
54,-1.889468,-3.254772,-0.206654,-0.431536
55,6.006480,-12.826858,0.656936,-1.700655
56,0.940488,-13.395663,0.102862,-1.776071
57,-8.555911,-1.042933,-0.935771,-0.138278
58,-6.258637,-6.126165,-0.684515,-0.812241
59,-5.022391,4.300361,-0.549305,0.570166
60,-5.662090,7.441295,-0.619270,0.986608
61,-3.470139,10.261073,-0.379534,1.360469
62,16.138721,-7.510581,1.765113,-0.995794
63,2.023726,0.619337,0.221338,0.082115
64,-10.756506,-7.386522,-1.176453,-0.979346
65,-9.814397,-0.448277,-1.073413,-0.059435
66,6.499158,-2.823191,0.710821,-0.374314
67,1.451304,-4.698711,0.158731,-0.622981
68,15.940200,-9.515417,1.743400,-1.261606
69,-7.950578,-14.212629,-0.869565,-1.884388
70,-3.763531,9.558787,-0.411622,1.267357
71,7.730328,-3.411188,0.845476,-0.452274
72,8.104611,-6.000880,0.886412,-0.795630
73,7.606287,1.661829,0.831909,0.220334
74,-4.619783,4.455925,-0.505272,0.590791
75,2.454898,-11.773166,0.268495,-1.560951
76,4.737641,5.462427,0.518162,0.724239
77,5.695023,-15.994935,0.622872,-2.120696
78,6.406853,-1.683834,0.700726,-0.223252
79,-16.266642,-2.446798,-1.779104,-0.324410
80,0.637364,17.209056,0.069709,2.281671
81,-8.970861,5.301985,-0.981155,0.702966
82,3.565198,-1.953039,0.389930,-0.258945
83,17.406898,6.631765,1.903815,0.879276
84,3.916696,9.247789,0.428374,1.226123
85,9.983349,0.132292,1.091892,0.017540
86,-3.881489,1.495086,-0.424523,0.198227
87,-0.618926,-2.173251,-0.067693,-0.288142
88,14.819090,8.511615,1.620783,1.128517
89,5.458159,-7.140332,0.596966,-0.946704
90,12.557380,0.929219,1.373417,0.123201
91,-8.324168,-0.685136,-0.910425,-0.090839
92,8.564582,14.389348,0.936719,1.907819
93,-7.153213,12.585699,-0.782356,1.668681
94,-5.409305,-7.920356,-0.591623,-1.050124
95,2.803057,8.472819,0.306574,1.123373
96,-11.332923,2.402079,-1.239496,0.318481
97,-3.069714,-4.269154,-0.335739,-0.566028
98,13.753261,-8.479984,1.504212,-1.124323
99,-11.807814,7.011277,-1.291436,0.929594
100,22.010276,-8.902531,2.407292,-1.180347
