border,arm,draw,gas_sigma,co2_sigma,mean_spread,separated_pct,hours
DE_LU-FR,observed,0,0.000000,0.000000,34.522170,88.194444,288
DE_LU-PL,observed,0,0.000000,0.000000,-8.660139,86.458333,288
DE_LU-CZ,observed,0,0.000000,0.000000,-3.360391,77.777778,288
DE_LU-NL,observed,0,0.000000,0.000000,2.977491,78.472222,288
DE_LU-BE,observed,0,0.000000,0.000000,7.870469,84.375000,288
DE_LU-AT,observed,0,0.000000,0.000000,-6.750399,79.861111,288
DE_LU-CH,observed,0,0.000000,0.000000,-5.619792,94.444444,288
FR-BE,observed,0,0.000000,0.000000,-26.651701,85.416667,288
FR-CH,observed,0,0.000000,0.000000,-40.141962,98.611111,288
NL-BE,observed,0,0.000000,0.000000,4.892977,74.652778,288
AT-CH,observed,0,0.000000,0.000000,1.130608,96.180556,288
AT-CZ,observed,0,0.000000,0.000000,3.390009,79.513889,288
CZ-PL,observed,0,0.000000,0.000000,-5.299748,78.472222,288
DE_LU-FR,ntc,1,2.197113,-0.114972,19.985011,47.222222,288
DE_LU-PL,ntc,1,2.197113,-0.114972,-6.782226,40.972222,288
DE_LU-CZ,ntc,1,2.197113,-0.114972,0.182149,26.388889,288
DE_LU-NL,ntc,1,2.197113,-0.114972,3.492786,18.750000,288
DE_LU-BE,ntc,1,2.197113,-0.114972,6.166507,24.652778,288
DE_LU-AT,ntc,1,2.197113,-0.114972,3.405919,11.805556,288
DE_LU-CH,ntc,1,2.197113,-0.114972,5.946364,21.180556,288
FR-BE,ntc,1,2.197113,-0.114972,-13.818504,37.500000,288
FR-CH,ntc,1,2.197113,-0.114972,-14.038647,27.777778,288
NL-BE,ntc,1,2.197113,-0.114972,2.673720,15.972222,288
AT-CH,ntc,1,2.197113,-0.114972,2.540445,19.444444,288
AT-CZ,ntc,1,2.197113,-0.114972,-3.223769,26.388889,288
CZ-PL,ntc,1,2.197113,-0.114972,-6.964375,38.541667,288
DE_LU-FR,ntc,2,-1.736009,-0.193904,15.301752,66.666667,288
DE_LU-PL,ntc,2,-1.736009,-0.193904,-14.837173,72.916667,288
DE_LU-CZ,ntc,2,-1.736009,-0.193904,-6.106792,36.458333,288
DE_LU-NL,ntc,2,-1.736009,-0.193904,5.315758,24.305556,288
DE_LU-BE,ntc,2,-1.736009,-0.193904,7.655175,36.111111,288
DE_LU-AT,ntc,2,-1.736009,-0.193904,4.530048,15.277778,288
DE_LU-CH,ntc,2,-1.736009,-0.193904,4.769534,25.694444,288
FR-BE,ntc,2,-1.736009,-0.193904,-7.646577,47.222222,288
FR-CH,ntc,2,-1.736009,-0.193904,-10.532218,43.750000,288
NL-BE,ntc,2,-1.736009,-0.193904,2.339417,27.083333,288
AT-CH,ntc,2,-1.736009,-0.193904,0.239486,22.569444,288
AT-CZ,ntc,2,-1.736009,-0.193904,-10.636840,45.833333,288
CZ-PL,ntc,2,-1.736009,-0.193904,-8.730381,56.250000,288
DE_LU-FR,ntc,3,-0.264830,-1.496459,13.336275,57.638889,288
DE_LU-PL,ntc,3,-0.264830,-1.496459,-7.770065,46.875000,288
DE_LU-CZ,ntc,3,-0.264830,-1.496459,-2.425046,30.902778,288
DE_LU-NL,ntc,3,-0.264830,-1.496459,3.467337,19.097222,288
DE_LU-BE,ntc,3,-0.264830,-1.496459,5.613430,28.125000,288
DE_LU-AT,ntc,3,-0.264830,-1.496459,3.275655,12.847222,288
DE_LU-CH,ntc,3,-0.264830,-1.496459,3.773428,23.611111,288
FR-BE,ntc,3,-0.264830,-1.496459,-7.722846,41.666667,288
FR-CH,ntc,3,-0.264830,-1.496459,-9.562847,35.416667,288
NL-BE,ntc,3,-0.264830,-1.496459,2.146093,23.611111,288
AT-CH,ntc,3,-0.264830,-1.496459,0.497773,19.444444,288
AT-CZ,ntc,3,-0.264830,-1.496459,-5.700701,38.541667,288
CZ-PL,ntc,3,-0.264830,-1.496459,-5.345019,41.666667,288
DE_LU-FR,ntc,4,1.007578,-1.010333,16.267520,49.652778,288
DE_LU-PL,ntc,4,1.007578,-1.010333,-6.794751,43.750000,288
DE_LU-CZ,ntc,4,1.007578,-1.010333,-0.719768,26.041667,288
DE_LU-NL,ntc,4,1.007578,-1.010333,3.419847,17.013889,288
DE_LU-BE,ntc,4,1.007578,-1.010333,5.748316,26.736111,288
DE_LU-AT,ntc,4,1.007578,-1.010333,3.147222,11.458333,288
DE_LU-CH,ntc,4,1.007578,-1.010333,4.531582,20.833333,288
FR-BE,ntc,4,1.007578,-1.010333,-10.519204,36.805556,288
FR-CH,ntc,4,1.007578,-1.010333,-11.735938,30.555556,288
NL-BE,ntc,4,1.007578,-1.010333,2.328468,19.097222,288
AT-CH,ntc,4,1.007578,-1.010333,1.384360,18.750000,288
AT-CZ,ntc,4,1.007578,-1.010333,-3.866991,29.513889,288
CZ-PL,ntc,4,1.007578,-1.010333,-6.074983,40.625000,288
DE_LU-FR,ntc,5,1.048992,1.827961,21.896236,56.250000,288
DE_LU-PL,ntc,5,1.048992,1.827961,-9.283399,46.527778,288
DE_LU-CZ,ntc,5,1.048992,1.827961,-2.512345,28.472222,288
DE_LU-NL,ntc,5,1.048992,1.827961,4.754839,18.055556,288
DE_LU-BE,ntc,5,1.048992,1.827961,8.245967,27.777778,288
DE_LU-AT,ntc,5,1.048992,1.827961,3.794642,12.500000,288
DE_LU-CH,ntc,5,1.048992,1.827961,6.162053,22.916667,288
FR-BE,ntc,5,1.048992,1.827961,-13.650269,40.277778,288
FR-CH,ntc,5,1.048992,1.827961,-15.734183,34.722222,288
NL-BE,ntc,5,1.048992,1.827961,3.491128,22.222222,288
AT-CH,ntc,5,1.048992,1.827961,2.367411,19.444444,288
AT-CZ,ntc,5,1.048992,1.827961,-6.306986,35.069444,288
CZ-PL,ntc,5,1.048992,1.827961,-6.771054,39.930556,288
DE_LU-FR,ntc,6,0.137185,0.765495,18.439813,59.375000,288
DE_LU-PL,ntc,6,0.137185,0.765495,-9.874305,52.430556,288
DE_LU-CZ,ntc,6,0.137185,0.765495,-3.340245,30.555556,288
DE_LU-NL,ntc,6,0.137185,0.765495,4.486834,20.833333,288
DE_LU-BE,ntc,6,0.137185,0.765495,7.523402,30.902778,288
DE_LU-AT,ntc,6,0.137185,0.765495,3.838732,13.888889,288
DE_LU-CH,ntc,6,0.137185,0.765495,5.317548,24.305556,288
FR-BE,ntc,6,0.137185,0.765495,-10.916411,42.708333,288
FR-CH,ntc,6,0.137185,0.765495,-13.122265,37.152778,288
NL-BE,ntc,6,0.137185,0.765495,3.036569,23.263889,288
AT-CH,ntc,6,0.137185,0.765495,1.478816,20.486111,288
AT-CZ,ntc,6,0.137185,0.765495,-7.178978,39.583333,288
CZ-PL,ntc,6,0.137185,0.765495,-6.534059,46.527778,288
DE_LU-FR,ntc,7,0.180876,-1.178794,14.650666,53.819444,288
DE_LU-PL,ntc,7,0.180876,-1.178794,-7.385062,44.791667,288
DE_LU-CZ,ntc,7,0.180876,-1.178794,-1.809362,29.166667,288
DE_LU-NL,ntc,7,0.180876,-1.178794,3.514087,16.666667,288
DE_LU-BE,ntc,7,0.180876,-1.178794,5.855406,27.083333,288
DE_LU-AT,ntc,7,0.180876,-1.178794,3.203698,11.458333,288
DE_LU-CH,ntc,7,0.180876,-1.178794,4.065206,22.222222,288
FR-BE,ntc,7,0.180876,-1.178794,-8.795260,38.541667,288
FR-CH,ntc,7,0.180876,-1.178794,-10.585459,32.986111,288
NL-BE,ntc,7,0.180876,-1.178794,2.341319,21.875000,288
AT-CH,ntc,7,0.180876,-1.178794,0.861508,19.097222,288
AT-CZ,ntc,7,0.180876,-1.178794,-5.013061,35.416667,288
CZ-PL,ntc,7,0.180876,-1.178794,-5.575700,39.236111,288
DE_LU-FR,ntc,8,-0.726146,-0.936657,14.122158,62.847222,288
DE_LU-PL,ntc,8,-0.726146,-0.936657,-9.828645,60.416667,288
DE_LU-CZ,ntc,8,-0.726146,-0.936657,-3.603021,33.333333,288
DE_LU-NL,ntc,8,-0.726146,-0.936657,4.141842,21.527778,288
DE_LU-BE,ntc,8,-0.726146,-0.936657,6.429631,33.333333,288
DE_LU-AT,ntc,8,-0.726146,-0.936657,3.748640,15.277778,288
DE_LU-CH,ntc,8,-0.726146,-0.936657,4.179971,24.652778,288
FR-BE,ntc,8,-0.726146,-0.936657,-7.692527,44.791667,288
FR-CH,ntc,8,-0.726146,-0.936657,-9.942187,40.277778,288
NL-BE,ntc,8,-0.726146,-0.936657,2.287788,25.000000,288
AT-CH,ntc,8,-0.726146,-0.936657,0.431331,21.527778,288
AT-CZ,ntc,8,-0.726146,-0.936657,-7.351661,43.402778,288
CZ-PL,ntc,8,-0.726146,-0.936657,-6.225624,51.041667,288
DE_LU-FR,ntc,9,0.031736,0.328496,17.417879,59.027778,288
DE_LU-PL,ntc,9,0.031736,0.328496,-9.508774,52.430556,288
DE_LU-CZ,ntc,9,0.031736,0.328496,-3.208276,30.555556,288
DE_LU-NL,ntc,9,0.031736,0.328496,4.296014,20.833333,288
DE_LU-BE,ntc,9,0.031736,0.328496,7.159227,30.555556,288
DE_LU-AT,ntc,9,0.031736,0.328496,3.742784,13.888889,288
DE_LU-CH,ntc,9,0.031736,0.328496,5.022945,24.305556,288
FR-BE,ntc,9,0.031736,0.328496,-10.258652,42.361111,288
FR-CH,ntc,9,0.031736,0.328496,-12.394933,36.805556,288
NL-BE,ntc,9,0.031736,0.328496,2.863213,23.263889,288
AT-CH,ntc,9,0.031736,0.328496,1.280161,20.486111,288
AT-CZ,ntc,9,0.031736,0.328496,-6.951060,39.583333,288
CZ-PL,ntc,9,0.031736,0.328496,-6.300498,46.180556,288
DE_LU-FR,ntc,10,-0.146882,1.714839,20.128648,63.541667,288
DE_LU-PL,ntc,10,-0.146882,1.714839,-12.370095,60.069444,288
DE_LU-CZ,ntc,10,-0.146882,1.714839,-4.597059,33.333333,288
DE_LU-NL,ntc,10,-0.146882,1.714839,5.121006,23.263889,288
DE_LU-BE,ntc,10,-0.146882,1.714839,8.556182,34.375000,288
DE_LU-AT,ntc,10,-0.146882,1.714839,4.428428,15.277778,288
DE_LU-CH,ntc,10,-0.146882,1.714839,5.964374,24.652778,288
FR-BE,ntc,10,-0.146882,1.714839,-11.572466,45.138889,288
FR-CH,ntc,10,-0.146882,1.714839,-14.164274,40.972222,288
NL-BE,ntc,10,-0.146882,1.714839,3.435176,25.000000,288
AT-CH,ntc,10,-0.146882,1.714839,1.535946,21.527778,288
AT-CZ,ntc,10,-0.146882,1.714839,-9.025487,43.402778,288
CZ-PL,ntc,10,-0.146882,1.714839,-7.773035,51.041667,288
DE_LU-FR,ntc,11,0.340603,0.364038,17.906250,57.291667,288
DE_LU-PL,ntc,11,0.340603,0.364038,-8.788859,46.527778,288
DE_LU-CZ,ntc,11,0.340603,0.364038,-2.698930,30.555556,288
DE_LU-NL,ntc,11,0.340603,0.364038,4.193200,19.097222,288
DE_LU-BE,ntc,11,0.340603,0.364038,7.129913,28.125000,288
DE_LU-AT,ntc,11,0.340603,0.364038,3.606334,12.847222,288
DE_LU-CH,ntc,11,0.340603,0.364038,5.067860,23.611111,288
FR-BE,ntc,11,0.340603,0.364038,-10.776337,41.319444,288
FR-CH,ntc,11,0.340603,0.364038,-12.838390,35.069444,288
NL-BE,ntc,11,0.340603,0.364038,2.936713,22.916667,288
AT-CH,ntc,11,0.340603,0.364038,1.461526,19.444444,288
AT-CZ,ntc,11,0.340603,0.364038,-6.305264,38.194444,288
CZ-PL,ntc,11,0.340603,0.364038,-6.089929,41.319444,288
DE_LU-FR,ntc,12,0.281521,-0.432807,16.252423,55.208333,288
DE_LU-PL,ntc,12,0.281521,-0.432807,-7.983053,45.486111,288
DE_LU-CZ,ntc,12,0.281521,-0.432807,-2.187039,29.166667,288
DE_LU-NL,ntc,12,0.281521,-0.432807,3.830609,17.361111,288
DE_LU-BE,ntc,12,0.281521,-0.432807,6.471496,27.430556,288
DE_LU-AT,ntc,12,0.281521,-0.432807,3.379188,11.458333,288
DE_LU-CH,ntc,12,0.281521,-0.432807,4.548588,21.875000,288
FR-BE,ntc,12,0.281521,-0.432807,-9.780927,39.583333,288
FR-CH,ntc,12,0.281521,-0.432807,-11.703835,34.375000,288
NL-BE,ntc,12,0.281521,-0.432807,2.640887,22.222222,288
AT-CH,ntc,12,0.281521,-0.432807,1.169399,19.444444,288
AT-CZ,ntc,12,0.281521,-0.432807,-5.566227,36.111111,288
CZ-PL,ntc,12,0.281521,-0.432807,-5.796015,40.972222,288
DE_LU-FR,ntc,13,-1.104597,-0.833954,14.248546,64.583333,288
DE_LU-PL,ntc,13,-1.104597,-0.833954,-11.282687,65.625000,288
DE_LU-CZ,ntc,13,-1.104597,-0.833954,-4.415867,35.763889,288
DE_LU-NL,ntc,13,-1.104597,-0.833954,4.504125,22.569444,288
DE_LU-BE,ntc,13,-1.104597,-0.833954,6.767565,34.027778,288
DE_LU-AT,ntc,13,-1.104597,-0.833954,4.083200,14.930556,288
DE_LU-CH,ntc,13,-1.104597,-0.833954,4.354370,24.652778,288
FR-BE,ntc,13,-1.104597,-0.833954,-7.480981,46.527778,288
FR-CH,ntc,13,-1.104597,-0.833954,-9.894176,42.361111,288
NL-BE,ntc,13,-1.104597,-0.833954,2.263440,25.347222,288
